num_of_particles,t_point_create,t_point_write,t_init,t_brute
100,733,5318,277,24449
100,821,4619,246,18339
100,870,5398,279,20222
1000,4340,25403,4316,559081
1000,3725,23820,2787,557821
1000,4382,26830,3476,568881
2500,12227,47594,6941,2760962
2500,11657,67234,6970,2558749
2500,13345,44550,6437,2844866
5000,24812,121898,13054,9374247
5000,22061,136132,10093,9544857
5000,26318,126460,10722,10221545
7500,37460,167752,14570,19462965
7500,37837,189185,18507,19424614
7500,38741,169910,16906,19452635
10000,49814,168340,24472,33445342
10000,50633,157249,19325,33582959
10000,51455,172641,24651,33479476
