NUM_OF_PARTICLES,GRID_SIZE,t_grid,t_gridcalc
100,1,136,97324
100,1,122,98388
100,1,95,97166
100,2,99,18773
100,2,188,20267
100,2,150,22814
100,3,112,8682
100,3,141,10645
100,3,394,8637
100,4,148,4790
100,4,132,4770
100,4,138,6270
100,5,239,5791
100,5,178,4422
100,5,198,4767
100,6,298,18121
100,6,298,21093
100,6,199,17939
100,7,303,25076
100,7,4819,24576
100,7,253,21929
100,8,483,24388
100,8,352,25538
100,8,322,23951
100,9,383,50476
100,9,553,31962
100,9,371,76338
100,10,654,134999
100,10,664,95654
100,10,713,92330
100,11,910,133914
100,11,742,146083
100,11,704,127856
100,12,841,277041
100,12,1058,152363
100,12,1102,307083
100,13,1354,382779
100,13,1372,361126
100,13,895,342344
100,14,1679,486315
100,14,1541,471938
100,14,1509,471887
100,15,1376,579540
100,15,1334,629374
100,15,1889,895860
100,16,1568,1234710
100,16,2342,1205680
100,16,1570,1313112
100,17,1810,1463329
100,17,1939,1449429
100,17,2024,1869198
100,18,2289,1726814
100,18,3136,1723113
100,18,2582,1778322
100,19,3124,2919238
100,19,3593,2030684
100,19,2760,2067520
100,20,4220,3843870
100,20,3469,3839117
100,20,3148,3283264
300,1,221,777494
300,1,323,825408
300,1,241,776544
300,2,334,164091
300,2,340,129378
300,2,260,127871
300,3,387,53742
300,3,298,48942
300,3,358,48525
300,4,454,38960
300,4,4614,32185
300,4,302,31855
300,5,507,26455
300,5,397,23782
300,5,476,18877
300,6,376,17036
300,6,525,15347
300,6,469,15486
300,7,737,14126
300,7,4944,15536
300,7,480,17406
300,8,508,46287
300,8,705,44920
300,8,735,45308
300,9,599,56821
300,9,861,48674
300,9,853,56312
300,10,688,65422
300,10,693,51653
300,10,733,54481
300,11,1188,62424
300,11,1191,65441
300,11,1107,61706
300,12,973,111515
300,12,992,82413
300,12,1290,74566
300,13,1716,228937
300,13,1617,203156
300,13,1621,177425
300,14,1318,274293
300,14,2105,260041
300,14,1936,278395
300,15,1551,305132
300,15,2007,301913
300,15,2242,319542
300,16,2460,599714
300,16,5393,359046
300,16,2372,357924
300,17,4472,415777
300,17,3043,438174
300,17,2964,837881
300,18,3442,874932
300,18,5780,978359
300,18,3471,1028148
300,19,3287,1162530
300,19,4026,1169696
300,19,3996,1172033
300,20,4212,1339871
300,20,4074,1362251
300,20,4017,1381672
900,1,612,6750078
900,1,779,6755129
900,1,836,6790823
900,2,640,931542
900,2,962,982564
900,2,638,929020
900,3,781,332478
900,3,790,333214
900,3,1019,328468
900,4,1012,176333
900,4,896,183079
900,4,1122,168803
900,5,796,113395
900,5,1424,109179
900,5,853,106359
900,6,1286,105343
900,6,1320,76052
900,6,852,76204
900,7,1435,57895
900,7,945,56391
900,7,986,62632
900,8,1025,47415
900,8,1749,46841
900,8,1015,45809
900,9,1151,39952
900,9,1298,40633
900,9,1128,41628
900,10,1935,37676
900,10,1216,42695
900,10,1221,124996
900,11,1556,130696
900,11,1449,143047
900,11,1406,132491
900,12,1655,132323
900,12,1797,146646
900,12,2109,131121
900,13,2251,141432
900,13,1920,139146
900,13,2860,186035
900,14,2150,152739
900,14,2909,154385
900,14,2252,144839
900,15,2584,167464
900,15,3275,182276
900,15,3298,175520
900,16,3694,189098
900,16,4211,189794
900,16,3342,196954
900,17,4706,207217
900,17,3884,445695
900,17,3979,389304
900,18,4136,556449
900,18,3094,570666
900,18,3187,556011
900,19,3843,635644
900,19,4345,646801
900,19,3485,640749
900,20,4213,740537
900,20,3905,735374
900,20,5566,770265
2700,2,2693,7889453
2700,2,1811,7824607
2700,2,2641,7866606
2700,3,1897,2551285
2700,3,1870,2514694
2700,3,1874,2521156
2700,4,2933,1222882
2700,4,1999,1177552
2700,4,2940,1204175
2700,5,2099,704006
2700,5,2109,681169
2700,5,3105,735828
2700,6,2198,450523
2700,6,2205,447659
2700,6,2205,449385
2700,7,2349,338929
2700,7,2352,331672
2700,7,2355,334007
2700,8,2981,255006
2700,8,2488,249687
2700,8,2469,254455
2700,9,2577,205849
2700,9,2593,218762
2700,9,2738,216916
2700,10,2734,176547
2700,10,2729,176467
2700,10,2764,173720
2700,11,2934,153379
2700,11,3042,152969
2700,11,2958,150401
2700,12,3163,141799
2700,12,3256,135538
2700,12,3092,135978
2700,13,5001,166900
2700,13,3335,131902
2700,13,3386,121435
2700,14,3564,125163
2700,14,3573,249470
2700,14,3691,124808
2700,15,3993,303985
2700,15,4179,380855
2700,15,4017,349772
2700,16,6444,415205
2700,16,4249,380691
2700,16,5772,380319
2700,17,4497,394916
2700,17,4506,385475
2700,17,4485,391512
2700,18,4821,395933
2700,18,4928,399427
2700,18,5141,409763
2700,19,5529,423069
2700,19,5279,423608
2700,19,5479,424865
2700,20,5851,439601
2700,20,5685,446340
2700,20,6631,428139
8100,5,5743,5155601
8100,5,8328,5177116
8100,5,5735,5215607
8100,6,5946,3220585
8100,6,6043,3243534
8100,6,5945,3219139
8100,7,6194,2174448
8100,7,6149,2215417
8100,7,6169,2189172
8100,8,6414,1590474
8100,8,6421,1621830
8100,8,9663,1587116
8100,9,6725,1231922
8100,9,9851,1238140
8100,9,6678,1215079
8100,10,9669,985811
8100,10,7059,980385
8100,10,6988,1006484
8100,11,7256,805243
8100,11,7232,818332
8100,11,8881,809523
8100,12,7462,686391
8100,12,7466,686028
8100,12,7550,684723
8100,13,12126,594400
8100,13,7871,612047
8100,13,7828,596165
8100,14,8131,535216
8100,14,12283,535370
8100,14,8130,534913
8100,15,8416,472620
8100,15,8405,520078
8100,15,8495,488189
8100,16,8844,439562
8100,16,8965,443973
8100,16,8940,429276
8100,17,9234,409524
8100,17,9228,408391
8100,17,9251,400028
8100,18,10376,373305
8100,18,9712,380470
8100,18,9730,378294
8100,19,10195,363109
8100,19,10229,359370
8100,19,10294,355425
8100,20,10741,341349
8100,20,10733,345546
8100,20,10745,347881
24300,10,22199,6715336
24300,10,18920,6710286
24300,10,19973,6711176
24300,11,19544,5327931
24300,11,19306,5321601
24300,11,19177,5467385
24300,12,19765,4368337
24300,12,21182,4389485
24300,12,20564,4365048
24300,13,20564,3650221
24300,13,20360,3644463
24300,13,20270,3654572
24300,14,20914,3120513
24300,14,21845,3111655
24300,14,21001,3135612
24300,15,26316,2711940
24300,15,35134,2722507
24300,15,21551,2681131
24300,16,21968,2362932
24300,16,22229,2393810
24300,16,22077,2372077
24300,17,22936,2105036
24300,17,22796,2096478
24300,17,22562,2129354
24300,18,23511,1897336
24300,18,23315,1897530
24300,18,23206,1907728
24300,19,23958,1782689
24300,19,24195,1725751
24300,19,24007,1730488
24300,20,24660,1587673
24300,20,24578,1585779
24300,20,24858,1650806
24300,21,44929,1756648
24300,21,27270,1465145
24300,21,25747,1467795
24300,22,26463,1378525
