NUM_OF_PARTICLES,GRID_SIZE,t_grid,t_gridcalc
1000,9,1801,51817
1000,9,3220,57643
1000,9,1525,83301
5000,16,6221,237806
5000,16,6334,224608
5000,16,7084,236507
10000,20,12359,454295
10000,20,12454,439666
10000,20,12680,443270
25000,28,32633,1067318
25000,28,48761,1156241
25000,28,32406,1090556
50000,35,74566,2150583
50000,35,68093,2164022
50000,35,76829,2120260
75000,40,114908,3194113
75000,40,120736,3229054
100000,44,159761,4261079
100000,44,148900,4410982
32 nearest
1000,9,2015,421286
1000,9,1981,436805
1000,9,1205,553296
2500,13,6875,882638
2500,13,3708,877953
2500,13,3496,887384
5000,16,9679,1854884
5000,16,6342,1871770
5000,16,6287,1850190
7500,19,10123,2568336
7500,19,14950,4740764
7500,19,9773,4491796
10000,20,12793,3779261
10000,20,21978,3845323
10000,20,16340,4011524
1000,9,2622,895583
1000,9,2717,846322
1000,9,1919,936110
2500,13,6900,4361484
2500,13,6447,4345727
2500,13,6741,4251564
5000,16,12672,8847924
5000,16,12707,8656324
5000,16,14814,9117903
7500,19,21692,12880573
7500,19,17790,12944839
7500,19,20912,12931301
1000,9,2348,818489
1000,9,2193,862529
1000,9,2093,838083
2500,13,5008,4276472
2500,13,6996,4288367
2500,13,7399,4344606
5000,16,10721,8789431
5000,16,9869,9136522
5000,16,12887,9103025
7500,19,18148,12827716
7500,19,22456,13009961
7500,19,22782,13202425
10000,20,28177,17905104
10000,20,25885,18330605
10000,20,29648,18190689
100,4,330,14873
100,4,208,10986
100,4,264,38570
10000,4,12536,33731529
10000,4,7623,33399290
10000,4,6972,33040098
10000,4,328,1625271
10000,4,10583,30272052
