num_of_particles,t_point_create,t_point_write,t_init,t_brute
100,441,2401,71,5749
100,532,1645,84,6665
100,448,1964,106,6645
300,1272,3490,241,46588
300,1158,4714,226,46572
300,1144,3585,172,36956
50000,216957,695555,31868,759460964
900,9746,28558,586,372446
900,3370,14478,754,313019
900,4012,15665,753,300094
2700,10447,46600,3946,2402419
2700,12851,46622,1757,2324531
2700,10309,51010,3269,2606747
8100,35624,119187,4830,20012563
8100,32014,107445,5483,20739052
8100,32331,123793,4417,20422056
24300,96948,406935,17145,181474331
24300,91693,341254,14279,177970515
24300,92629,307740,14103,176727669
72900,279379,798701,54286,1602013832
